drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
21/776;2015-06-15;2015-06-23;Anerkennung ausländischer Abschlüsse in Hamburg nach dem Hamburgischen Gesetz über die Feststellung der Gleichwertigkeit ausländischer Berufsqualifikationen;"Jennyfer Dutschke; Dr. Wieland Schinnenburg";FDP;6;7;3;True;True;44741;21_00776_anerkennung_auslaendischer_abschluesse_in_hamburg_nach_dem_hamburgischen_gesetz_ueber_die_feststellun.md
21/1938;2015-10-15;2015-10-23;Einsätze in den Zentralen Erstaufnahmeeinrichtungen (ZEA);Dennis Gladiator;CDU;6;6;3;True;True;45872;21_01938_einsaetze_in_den_zentralen_erstaufnahmeeinrichtungen_zea.md
21/1939;2015-10-15;2015-10-23;Wie steht es um die musikalische Bildung in Hamburg?;Jens Meyer;FDP;22;38;18;True;True;45873;21_01939_wie_steht_es_um_die_musikalische_bildung_in_hamburg.md
21/1940;2015-10-15;2015-10-23;Sportklassen;Daniel Oetzel;FDP;10;28;2;True;True;45874;21_01940_sportklassen.md
21/6362;2016-10-14;2016-10-21;Campus Lohmühlenpark: Auf welchem Umsetzungsstand befindet sich das Schlüsselprojekt?;David Erkalp;CDU;3;10;2;True;True;50229;21_06362_campus_lohmuehlenpark_auf_welchem_umsetzungsstand_befindet_sich_das_schluesselprojekt.md
21/6363;2016-10-14;2016-10-21;Task Force gegen Drogendealer (II);Christiane Schneider;Die Linke;10;12;2;True;True;50230;21_06363_task_force_gegen_drogendealer_ii.md
21/6364;2016-10-14;2016-10-21;Ist die Jugendberufsagentur für die Beratung junger Flüchtlinge ausreichend ausgestattet?;"Franziska Grunwaldt; Karin Prien";CDU;9;13;7;True;True;50231;21_06364_ist_die_jugendberufsagentur_fuer_die_beratung_junger_fluechtlinge_ausreichend_ausgestattet.md
21/8199;2017-03-01;2017-03-07;Sportstätten am Oberhafen;"Daniel Oetzel; Jens Meyer";FDP;9;14;5;True;True;52038;21_08199_sportstaetten_am_oberhafen.md
21/8200;2017-03-01;2017-03-07;Leinenzwang für Hunde;Dr. Wieland Schinnenburg;FDP;9;9;6;True;True;52039;21_08200_leinenzwang_fuer_hunde.md
21/8201;2017-03-01;2017-03-07;Magistralengutachten;Dr. Wieland Schinnenburg;FDP;7;8;2;True;True;52040;21_08201_magistralengutachten.md
21/8202;2017-03-01;2017-03-07;Missbrauch einer 28-Jährigen im Lohmühlenpark Anfang Januar;Dirk Nockemann;AfD;5;7;1;True;True;52041;21_08202_missbrauch_einer_28_jaehrigen_im_lohmuehlenpark_anfang_januar.md
21/8203;2017-03-01;2017-03-07;„Lampedusa-Flüchtlinge“ und „Informationszelt“ – Wie ist der Stand?;Dirk Nockemann;AfD;14;22;2;True;True;52042;21_08203_lampedusa_fluechtlinge_und_informationszelt_wie_ist_der_stand.md
